Date,Region,City,Customer Type,Channel,Product,Category,Sales Rep,Unit Price,Quantity,Cost Price,COGS,Revenue,Profit
45762,North,Lagos,Corporate,Online,Laptop A13,Electronics,Grace,420000,10,336000,3360000,4200000,840000
45714,East,Port Harcourt,Retail,Store,Smartphone Z10,Electronics,Aisha,250000,5,200000,1000000,1250000,250000
45697,North,Lagos,Corporate,Store,Refrigerator R55,Home Appliances,Grace,220000,4,176000,704000,880000,176000
45746,West,Abuja,Corporate,Online,Printer P50,Electronics,Musa,150000,7,120000,840000,1050000,210000
45717,South,Kano,Retail,Online,Office Chair Pro,Furniture,Peter,85000,3,68000,204000,255000,51000
45698,East,Port Harcourt,Retail,Store,Desktop PC D21,Electronics,Grace,300000,8,240000,1920000,2400000,480000
45697,West,Lagos,Corporate,Online,Refrigerator R55,Home Appliances,David,220000,1,176000,176000,220000,44000
45671,South,Abuja,Corporate,Online,Sofa Classic,Furniture,Grace,320000,7,256000,1792000,2240000,448000
45658,West,Abuja,Retail,Store,Printer P50,Electronics,Chidinma,150000,1,120000,120000,150000,30000
45708,East,Kano,Retail,Online,Air Conditioner X2,Home Appliances,Grace,180000,9,144000,1296000,1620000,324000
45725,South,Kano,Retail,Online,Sofa Classic,Furniture,Grace,320000,5,256000,1280000,1600000,320000
45697,South,Kano,Corporate,Store,Printer P50,Electronics,Aisha,150000,8,120000,960000,1200000,240000
45701,West,Port Harcourt,Corporate,Store,Office Chair Pro,Furniture,David,85000,7,68000,476000,595000,119000
45729,South,Abuja,Corporate,Online,Sofa Classic,Furniture,David,320000,6,256000,1536000,1920000,384000
45691,West,Kano,Retail,Store,Laptop A13,Electronics,Aisha,420000,8,336000,2688000,3360000,672000
45692,South,Port Harcourt,Corporate,Online,Desktop PC D21,Electronics,Peter,300000,7,240000,1680000,2100000,420000
45706,West,Port Harcourt,Retail,Online,Blender B10,Home Appliances,David,30000,6,24000,144000,180000,36000
45709,West,Port Harcourt,Corporate,Store,Refrigerator R55,Home Appliances,Peter,220000,2,176000,352000,440000,88000
45681,West,Abuja,Retail,Online,Printer P50,Electronics,David,150000,1,120000,120000,150000,30000
45685,North,Lagos,Retail,Store,Sofa Classic,Furniture,Grace,320000,1,256000,256000,320000,64000
45765,North,Abuja,Corporate,Store,Blender B10,Home Appliances,David,30000,3,24000,72000,90000,18000
45660,West,Port Harcourt,Corporate,Online,Microwave M20,Home Appliances,Musa,60000,5,48000,240000,300000,60000
45746,East,Kano,Corporate,Online,Printer P50,Electronics,Musa,150000,3,120000,360000,450000,90000
45751,East,Lagos,Retail,Online,Sofa Classic,Furniture,Musa,320000,10,256000,2560000,3200000,640000
45696,East,Port Harcourt,Corporate,Online,Refrigerator R55,Home Appliances,Chidinma,220000,6,176000,1056000,1320000,264000
45732,West,Abuja,Corporate,Online,Air Conditioner X2,Home Appliances,Musa,180000,8,144000,1152000,1440000,288000
45683,West,Kano,Retail,Store,Sofa Classic,Furniture,David,320000,2,256000,512000,640000,128000
45694,West,Lagos,Retail,Store,Desktop PC D21,Electronics,Peter,300000,9,240000,2160000,2700000,540000
45674,North,Kano,Retail,Store,Laptop A13,Electronics,Peter,420000,1,336000,336000,420000,84000
45753,East,Kano,Retail,Online,Microwave M20,Home Appliances,Musa,60000,1,48000,48000,60000,12000
45725,East,Lagos,Corporate,Store,Desktop PC D21,Electronics,Peter,300000,9,240000,2160000,2700000,540000
45663,West,Kano,Corporate,Online,Laptop A13,Electronics,David,420000,9,336000,3024000,3780000,756000
45708,East,Lagos,Retail,Online,Refrigerator R55,Home Appliances,Aisha,220000,8,176000,1408000,1760000,352000
45659,South,Port Harcourt,Retail,Online,Office Chair Pro,Furniture,Peter,85000,10,68000,680000,850000,170000
45701,West,Kano,Corporate,Online,Printer P50,Electronics,Chidinma,150000,4,120000,480000,600000,120000
45677,East,Lagos,Corporate,Store,Smartphone Z10,Electronics,Musa,250000,1,200000,200000,250000,50000
45735,South,Lagos,Retail,Online,Blender B10,Home Appliances,Musa,30000,10,24000,240000,300000,60000
45721,South,Lagos,Corporate,Online,Laptop A13,Electronics,David,420000,4,336000,1344000,1680000,336000
45723,East,Lagos,Retail,Store,Office Chair Pro,Furniture,Peter,85000,2,68000,136000,170000,34000
45744,East,Lagos,Retail,Online,Refrigerator R55,Home Appliances,Musa,220000,1,176000,176000,220000,44000
45671,West,Port Harcourt,Retail,Store,Air Conditioner X2,Home Appliances,Grace,180000,9,144000,1296000,1620000,324000
45762,West,Kano,Retail,Store,Smartphone Z10,Electronics,Chidinma,250000,6,200000,1200000,1500000,300000
45763,West,Port Harcourt,Retail,Store,Air Conditioner X2,Home Appliances,Grace,180000,3,144000,432000,540000,108000
45693,South,Port Harcourt,Corporate,Online,Microwave M20,Home Appliances,Peter,60000,8,48000,384000,480000,96000
45757,North,Port Harcourt,Retail,Online,Microwave M20,Home Appliances,Chidinma,60000,3,48000,144000,180000,36000
45747,West,Kano,Corporate,Online,Blender B10,Home Appliances,Musa,30000,8,24000,192000,240000,48000
45666,South,Lagos,Retail,Store,Microwave M20,Home Appliances,Grace,60000,4,48000,192000,240000,48000
45707,South,Port Harcourt,Corporate,Store,Blender B10,Home Appliances,David,30000,3,24000,72000,90000,18000
45705,East,Kano,Retail,Online,Air Conditioner X2,Home Appliances,Musa,180000,5,144000,720000,900000,180000
45768,North,Port Harcourt,Retail,Store,Refrigerator R55,Home Appliances,Grace,220000,3,176000,528000,660000,132000
45768,West,Lagos,Retail,Online,Microwave M20,Home Appliances,Aisha,60000,4,48000,192000,240000,48000
45760,North,Port Harcourt,Corporate,Online,Office Chair Pro,Furniture,Aisha,85000,1,68000,68000,85000,17000
45707,East,Port Harcourt,Retail,Online,Blender B10,Home Appliances,David,30000,5,24000,120000,150000,30000
45706,East,Abuja,Retail,Store,Microwave M20,Home Appliances,Aisha,60000,3,48000,144000,180000,36000
45691,West,Abuja,Retail,Online,Microwave M20,Home Appliances,Chidinma,60000,6,48000,288000,360000,72000
45671,South,Kano,Corporate,Online,Desktop PC D21,Electronics,Chidinma,300000,2,240000,480000,600000,120000
45680,West,Kano,Retail,Online,Printer P50,Electronics,David,150000,7,120000,840000,1050000,210000
45766,North,Kano,Corporate,Store,Refrigerator R55,Home Appliances,Musa,220000,3,176000,528000,660000,132000
45663,West,Kano,Retail,Store,Microwave M20,Home Appliances,Peter,60000,9,48000,432000,540000,108000
45714,West,Lagos,Corporate,Store,Sofa Classic,Furniture,Musa,320000,2,256000,512000,640000,128000
45697,West,Kano,Corporate,Online,Refrigerator R55,Home Appliances,Chidinma,220000,5,176000,880000,1100000,220000
45680,West,Port Harcourt,Corporate,Online,Printer P50,Electronics,Grace,150000,1,120000,120000,150000,30000
45701,South,Lagos,Retail,Store,Desktop PC D21,Electronics,Chidinma,300000,8,240000,1920000,2400000,480000
45708,East,Abuja,Retail,Online,Refrigerator R55,Home Appliances,Aisha,220000,3,176000,528000,660000,132000
45672,West,Port Harcourt,Retail,Online,Smartphone Z10,Electronics,Chidinma,250000,8,200000,1600000,2000000,400000
45766,South,Lagos,Corporate,Online,Desktop PC D21,Electronics,Musa,300000,4,240000,960000,1200000,240000
45778,South,Kano,Corporate,Store,Desktop PC D21,Electronics,Musa,300000,1,240000,240000,300000,60000
45774,East,Abuja,Retail,Online,Smartphone Z10,Electronics,Musa,250000,8,200000,1600000,2000000,400000
45720,West,Abuja,Corporate,Store,Air Conditioner X2,Home Appliances,Aisha,180000,2,144000,288000,360000,72000
45691,West,Abuja,Retail,Store,Air Conditioner X2,Home Appliances,Musa,180000,6,144000,864000,1080000,216000
45704,North,Lagos,Corporate,Online,Desktop PC D21,Electronics,Musa,300000,2,240000,480000,600000,120000
45776,East,Port Harcourt,Corporate,Store,Printer P50,Electronics,Chidinma,150000,6,120000,720000,900000,180000
45722,South,Lagos,Corporate,Store,Laptop A13,Electronics,Chidinma,420000,10,336000,3360000,4200000,840000
45777,East,Kano,Retail,Online,Laptop A13,Electronics,Musa,420000,8,336000,2688000,3360000,672000
45677,South,Lagos,Retail,Store,Air Conditioner X2,Home Appliances,Chidinma,180000,8,144000,1152000,1440000,288000
45660,South,Kano,Retail,Store,Desktop PC D21,Electronics,Aisha,300000,4,240000,960000,1200000,240000
45672,South,Kano,Retail,Store,Laptop A13,Electronics,Peter,420000,1,336000,336000,420000,84000
45736,West,Kano,Corporate,Online,Blender B10,Home Appliances,Musa,30000,7,24000,168000,210000,42000
45714,South,Port Harcourt,Retail,Online,Laptop A13,Electronics,Musa,420000,3,336000,1008000,1260000,252000
45775,South,Port Harcourt,Retail,Store,Microwave M20,Home Appliances,Grace,60000,5,48000,240000,300000,60000
45768,West,Abuja,Corporate,Online,Desktop PC D21,Electronics,Grace,300000,9,240000,2160000,2700000,540000
45773,East,Kano,Retail,Store,Sofa Classic,Furniture,Peter,320000,4,256000,1024000,1280000,256000
45685,North,Lagos,Retail,Store,Air Conditioner X2,Home Appliances,Grace,180000,2,144000,288000,360000,72000
45712,East,Lagos,Retail,Online,Office Chair Pro,Furniture,Peter,85000,1,68000,68000,85000,17000
45699,North,Kano,Corporate,Store,Sofa Classic,Furniture,Peter,320000,7,256000,1792000,2240000,448000
45696,East,Abuja,Corporate,Online,Microwave M20,Home Appliances,Chidinma,60000,9,48000,432000,540000,108000
45660,North,Abuja,Corporate,Store,Office Chair Pro,Furniture,David,85000,1,68000,68000,85000,17000
45742,East,Lagos,Retail,Online,Desktop PC D21,Electronics,Grace,300000,6,240000,1440000,1800000,360000
45674,North,Lagos,Corporate,Online,Blender B10,Home Appliances,Chidinma,30000,5,24000,120000,150000,30000
45725,North,Port Harcourt,Retail,Store,Printer P50,Electronics,Aisha,150000,4,120000,480000,600000,120000
45742,South,Port Harcourt,Corporate,Store,Printer P50,Electronics,Aisha,150000,6,120000,720000,900000,180000
45766,North,Lagos,Corporate,Store,Printer P50,Electronics,Aisha,150000,8,120000,960000,1200000,240000
45673,South,Lagos,Retail,Store,Blender B10,Home Appliances,Chidinma,30000,6,24000,144000,180000,36000
45678,West,Lagos,Retail,Online,Smartphone Z10,Electronics,Peter,250000,3,200000,600000,750000,150000
45730,South,Lagos,Corporate,Online,Printer P50,Electronics,Chidinma,150000,5,120000,600000,750000,150000
45734,West,Lagos,Retail,Online,Refrigerator R55,Home Appliances,Aisha,220000,1,176000,176000,220000,44000
45670,North,Lagos,Retail,Store,Sofa Classic,Furniture,Peter,320000,10,256000,2560000,3200000,640000
45683,South,Port Harcourt,Corporate,Store,Microwave M20,Home Appliances,David,60000,5,48000,240000,300000,60000
45757,East,Abuja,Retail,Store,Printer P50,Electronics,Grace,150000,7,120000,840000,1050000,210000
45774,North,Kano,Retail,Online,Microwave M20,Home Appliances,Musa,60000,7,48000,336000,420000,84000
45698,North,Port Harcourt,Corporate,Store,Refrigerator R55,Home Appliances,Peter,220000,4,176000,704000,880000,176000
45709,East,Kano,Corporate,Store,Smartphone Z10,Electronics,David,250000,6,200000,1200000,1500000,300000
45723,North,Port Harcourt,Corporate,Online,Laptop A13,Electronics,Chidinma,420000,10,336000,3360000,4200000,840000
45746,East,Port Harcourt,Retail,Online,Blender B10,Home Appliances,Grace,30000,9,24000,216000,270000,54000
45737,West,Kano,Retail,Store,Air Conditioner X2,Home Appliances,Musa,180000,8,144000,1152000,1440000,288000
45680,North,Lagos,Retail,Online,Laptop A13,Electronics,Aisha,420000,5,336000,1680000,2100000,420000
45666,West,Port Harcourt,Corporate,Online,Microwave M20,Home Appliances,Chidinma,60000,9,48000,432000,540000,108000
45700,South,Kano,Corporate,Store,Office Chair Pro,Furniture,David,85000,5,68000,340000,425000,85000
45752,South,Kano,Corporate,Online,Office Chair Pro,Furniture,Musa,85000,1,68000,68000,85000,17000
45683,East,Lagos,Retail,Store,Microwave M20,Home Appliances,Peter,60000,8,48000,384000,480000,96000
45774,West,Kano,Corporate,Online,Printer P50,Electronics,Aisha,150000,5,120000,600000,750000,150000
45746,West,Abuja,Retail,Online,Sofa Classic,Furniture,Peter,320000,10,256000,2560000,3200000,640000
45686,West,Abuja,Corporate,Online,Smartphone Z10,Electronics,Grace,250000,6,200000,1200000,1500000,300000
45678,South,Kano,Corporate,Online,Printer P50,Electronics,Chidinma,150000,3,120000,360000,450000,90000
45737,West,Lagos,Corporate,Online,Microwave M20,Home Appliances,Aisha,60000,10,48000,480000,600000,120000
45758,North,Kano,Retail,Online,Printer P50,Electronics,Musa,150000,8,120000,960000,1200000,240000
45775,South,Port Harcourt,Retail,Online,Smartphone Z10,Electronics,Aisha,250000,7,200000,1400000,1750000,350000
45774,South,Abuja,Corporate,Online,Office Chair Pro,Furniture,Peter,85000,6,68000,408000,510000,102000
45699,North,Port Harcourt,Corporate,Online,Air Conditioner X2,Home Appliances,Aisha,180000,9,144000,1296000,1620000,324000
45740,West,Abuja,Corporate,Online,Blender B10,Home Appliances,Aisha,30000,8,24000,192000,240000,48000
45679,South,Port Harcourt,Corporate,Store,Office Chair Pro,Furniture,David,85000,1,68000,68000,85000,17000
45693,West,Abuja,Corporate,Online,Blender B10,Home Appliances,Grace,30000,8,24000,192000,240000,48000
45673,North,Kano,Retail,Online,Sofa Classic,Furniture,Aisha,320000,2,256000,512000,640000,128000
45731,East,Port Harcourt,Retail,Online,Printer P50,Electronics,Aisha,150000,5,120000,600000,750000,150000
45739,East,Kano,Corporate,Online,Smartphone Z10,Electronics,Grace,250000,5,200000,1000000,1250000,250000
45676,North,Abuja,Corporate,Online,Refrigerator R55,Home Appliances,David,220000,10,176000,1760000,2200000,440000
45760,North,Kano,Corporate,Online,Microwave M20,Home Appliances,Peter,60000,2,48000,96000,120000,24000
45673,North,Kano,Corporate,Store,Smartphone Z10,Electronics,Aisha,250000,1,200000,200000,250000,50000
45672,West,Port Harcourt,Retail,Online,Air Conditioner X2,Home Appliances,Grace,180000,8,144000,1152000,1440000,288000
45658,North,Lagos,Retail,Online,Printer P50,Electronics,Chidinma,150000,1,120000,120000,150000,30000
45689,North,Abuja,Retail,Online,Blender B10,Home Appliances,David,30000,6,24000,144000,180000,36000
45678,West,Port Harcourt,Corporate,Online,Refrigerator R55,Home Appliances,Grace,220000,10,176000,1760000,2200000,440000
45674,West,Port Harcourt,Retail,Store,Laptop A13,Electronics,David,420000,1,336000,336000,420000,84000
45671,West,Lagos,Corporate,Store,Desktop PC D21,Electronics,David,300000,8,240000,1920000,2400000,480000
45714,North,Abuja,Corporate,Online,Smartphone Z10,Electronics,Chidinma,250000,3,200000,600000,750000,150000
45729,West,Abuja,Corporate,Online,Desktop PC D21,Electronics,Peter,300000,4,240000,960000,1200000,240000
45749,West,Kano,Retail,Online,Printer P50,Electronics,Peter,150000,6,120000,720000,900000,180000
45761,West,Abuja,Retail,Online,Laptop A13,Electronics,Chidinma,420000,2,336000,672000,840000,168000
45684,South,Lagos,Retail,Online,Refrigerator R55,Home Appliances,David,220000,1,176000,176000,220000,44000
45764,South,Abuja,Retail,Store,Refrigerator R55,Home Appliances,Aisha,220000,8,176000,1408000,1760000,352000
45735,North,Kano,Retail,Store,Blender B10,Home Appliances,Grace,30000,10,24000,240000,300000,60000
45718,North,Lagos,Corporate,Online,Blender B10,Home Appliances,Grace,30000,4,24000,96000,120000,24000
45754,West,Port Harcourt,Corporate,Online,Air Conditioner X2,Home Appliances,Chidinma,180000,6,144000,864000,1080000,216000
45750,West,Abuja,Corporate,Online,Desktop PC D21,Electronics,Grace,300000,2,240000,480000,600000,120000
45684,East,Lagos,Retail,Online,Printer P50,Electronics,Chidinma,150000,9,120000,1080000,1350000,270000
45746,North,Port Harcourt,Retail,Store,Printer P50,Electronics,David,150000,9,120000,1080000,1350000,270000
45695,West,Port Harcourt,Retail,Online,Blender B10,Home Appliances,Chidinma,30000,4,24000,96000,120000,24000
45778,East,Kano,Corporate,Online,Microwave M20,Home Appliances,Musa,60000,9,48000,432000,540000,108000
45667,South,Lagos,Retail,Store,Desktop PC D21,Electronics,Musa,300000,9,240000,2160000,2700000,540000
45768,North,Abuja,Retail,Online,Sofa Classic,Furniture,Grace,320000,3,256000,768000,960000,192000
45772,West,Port Harcourt,Retail,Online,Printer P50,Electronics,Chidinma,150000,1,120000,120000,150000,30000
45749,North,Lagos,Corporate,Online,Desktop PC D21,Electronics,Musa,300000,9,240000,2160000,2700000,540000
45671,East,Lagos,Retail,Online,Refrigerator R55,Home Appliances,David,220000,3,176000,528000,660000,132000
45766,West,Kano,Corporate,Online,Refrigerator R55,Home Appliances,Grace,220000,9,176000,1584000,1980000,396000
45664,East,Kano,Corporate,Store,Microwave M20,Home Appliances,Grace,60000,6,48000,288000,360000,72000
45692,North,Kano,Retail,Store,Blender B10,Home Appliances,Peter,30000,10,24000,240000,300000,60000
45659,South,Kano,Corporate,Store,Laptop A13,Electronics,Grace,420000,8,336000,2688000,3360000,672000
45742,South,Kano,Corporate,Online,Microwave M20,Home Appliances,Chidinma,60000,9,48000,432000,540000,108000
45675,East,Kano,Corporate,Online,Smartphone Z10,Electronics,Peter,250000,1,200000,200000,250000,50000
45711,South,Kano,Retail,Online,Microwave M20,Home Appliances,Grace,60000,1,48000,48000,60000,12000
45763,South,Abuja,Retail,Online,Laptop A13,Electronics,Grace,420000,8,336000,2688000,3360000,672000
45691,South,Port Harcourt,Corporate,Store,Air Conditioner X2,Home Appliances,Grace,180000,4,144000,576000,720000,144000
45733,East,Kano,Retail,Store,Air Conditioner X2,Home Appliances,Grace,180000,7,144000,1008000,1260000,252000
45660,North,Kano,Retail,Online,Blender B10,Home Appliances,Aisha,30000,6,24000,144000,180000,36000
45708,East,Port Harcourt,Retail,Online,Air Conditioner X2,Home Appliances,David,180000,4,144000,576000,720000,144000
45772,East,Abuja,Corporate,Store,Desktop PC D21,Electronics,Musa,300000,3,240000,720000,900000,180000
45678,West,Lagos,Retail,Online,Microwave M20,Home Appliances,Chidinma,60000,3,48000,144000,180000,36000
45708,East,Port Harcourt,Corporate,Online,Refrigerator R55,Home Appliances,Musa,220000,1,176000,176000,220000,44000
45693,North,Lagos,Retail,Online,Desktop PC D21,Electronics,David,300000,2,240000,480000,600000,120000
45721,South,Kano,Retail,Online,Printer P50,Electronics,David,150000,3,120000,360000,450000,90000
45692,North,Lagos,Corporate,Online,Office Chair Pro,Furniture,David,85000,1,68000,68000,85000,17000
45659,South,Lagos,Retail,Store,Blender B10,Home Appliances,Chidinma,30000,6,24000,144000,180000,36000
45718,West,Kano,Corporate,Online,Printer P50,Electronics,Musa,150000,5,120000,600000,750000,150000
45766,West,Lagos,Retail,Store,Blender B10,Home Appliances,Aisha,30000,5,24000,120000,150000,30000
45759,East,Lagos,Retail,Store,Air Conditioner X2,Home Appliances,Grace,180000,9,144000,1296000,1620000,324000
45693,North,Kano,Corporate,Store,Microwave M20,Home Appliances,Musa,60000,6,48000,288000,360000,72000
45735,North,Lagos,Retail,Store,Smartphone Z10,Electronics,David,250000,10,200000,2000000,2500000,500000
45692,South,Kano,Retail,Store,Laptop A13,Electronics,David,420000,3,336000,1008000,1260000,252000
45669,North,Port Harcourt,Corporate,Store,Printer P50,Electronics,David,150000,3,120000,360000,450000,90000
45747,South,Abuja,Corporate,Store,Refrigerator R55,Home Appliances,David,220000,4,176000,704000,880000,176000
45658,South,Lagos,Corporate,Store,Office Chair Pro,Furniture,David,85000,10,68000,680000,850000,170000
45736,North,Kano,Retail,Store,Desktop PC D21,Electronics,Grace,300000,6,240000,1440000,1800000,360000
45713,West,Port Harcourt,Retail,Online,Desktop PC D21,Electronics,Aisha,300000,8,240000,1920000,2400000,480000
45691,South,Abuja,Corporate,Store,Sofa Classic,Furniture,Musa,320000,4,256000,1024000,1280000,256000
45753,South,Lagos,Corporate,Online,Air Conditioner X2,Home Appliances,Grace,180000,5,144000,720000,900000,180000
45658,West,Port Harcourt,Retail,Store,Air Conditioner X2,Home Appliances,Peter,180000,6,144000,864000,1080000,216000
45731,East,Kano,Corporate,Store,Printer P50,Electronics,Musa,150000,9,120000,1080000,1350000,270000
45688,West,Port Harcourt,Retail,Online,Printer P50,Electronics,Peter,150000,1,120000,120000,150000,30000
45669,East,Kano,Retail,Online,Air Conditioner X2,Home Appliances,Peter,180000,8,144000,1152000,1440000,288000
45727,West,Port Harcourt,Retail,Store,Air Conditioner X2,Home Appliances,Musa,180000,6,144000,864000,1080000,216000
45758,North,Abuja,Corporate,Online,Air Conditioner X2,Home Appliances,Aisha,180000,3,144000,432000,540000,108000
45730,North,Kano,Retail,Online,Printer P50,Electronics,Chidinma,150000,10,120000,1200000,1500000,300000
45759,South,Kano,Retail,Store,Air Conditioner X2,Home Appliances,Aisha,180000,8,144000,1152000,1440000,288000
45708,West,Kano,Retail,Store,Desktop PC D21,Electronics,Musa,300000,8,240000,1920000,2400000,480000
45693,West,Kano,Retail,Store,Sofa Classic,Furniture,Peter,320000,9,256000,2304000,2880000,576000
45675,South,Kano,Retail,Online,Sofa Classic,Furniture,Grace,320000,7,256000,1792000,2240000,448000
45773,East,Abuja,Retail,Online,Printer P50,Electronics,David,150000,7,120000,840000,1050000,210000
45678,East,Abuja,Retail,Store,Refrigerator R55,Home Appliances,Grace,220000,6,176000,1056000,1320000,264000
45732,North,Lagos,Retail,Online,Smartphone Z10,Electronics,Peter,250000,1,200000,200000,250000,50000
45734,West,Lagos,Retail,Online,Microwave M20,Home Appliances,David,60000,4,48000,192000,240000,48000
45659,North,Lagos,Retail,Online,Office Chair Pro,Furniture,David,85000,9,68000,612000,765000,153000
45718,West,Port Harcourt,Retail,Online,Air Conditioner X2,Home Appliances,Chidinma,180000,5,144000,720000,900000,180000
45681,West,Lagos,Retail,Store,Printer P50,Electronics,Chidinma,150000,4,120000,480000,600000,120000
45703,North,Lagos,Retail,Online,Printer P50,Electronics,Musa,150000,4,120000,480000,600000,120000
45763,East,Lagos,Corporate,Online,Blender B10,Home Appliances,Musa,30000,2,24000,48000,60000,12000
45771,South,Abuja,Corporate,Online,Air Conditioner X2,Home Appliances,Aisha,180000,6,144000,864000,1080000,216000
45757,North,Kano,Corporate,Store,Microwave M20,Home Appliances,Grace,60000,9,48000,432000,540000,108000
45719,South,Port Harcourt,Retail,Online,Printer P50,Electronics,David,150000,3,120000,360000,450000,90000
45765,North,Lagos,Retail,Online,Office Chair Pro,Furniture,Musa,85000,3,68000,204000,255000,51000
45750,East,Port Harcourt,Corporate,Store,Blender B10,Home Appliances,Peter,30000,3,24000,72000,90000,18000
45724,East,Kano,Corporate,Online,Office Chair Pro,Furniture,Chidinma,85000,2,68000,136000,170000,34000
45667,West,Abuja,Corporate,Online,Blender B10,Home Appliances,Chidinma,30000,6,24000,144000,180000,36000
45775,West,Abuja,Corporate,Online,Sofa Classic,Furniture,Chidinma,320000,1,256000,256000,320000,64000
45766,South,Lagos,Retail,Store,Laptop A13,Electronics,Aisha,420000,5,336000,1680000,2100000,420000
45749,West,Abuja,Retail,Store,Blender B10,Home Appliances,Grace,30000,9,24000,216000,270000,54000
45675,South,Abuja,Retail,Online,Microwave M20,Home Appliances,Aisha,60000,8,48000,384000,480000,96000
45667,West,Kano,Retail,Online,Desktop PC D21,Electronics,Musa,300000,2,240000,480000,600000,120000
45732,South,Port Harcourt,Retail,Online,Refrigerator R55,Home Appliances,Musa,220000,7,176000,1232000,1540000,308000
45696,North,Lagos,Corporate,Store,Desktop PC D21,Electronics,Chidinma,300000,8,240000,1920000,2400000,480000
45700,East,Lagos,Corporate,Store,Laptop A13,Electronics,Peter,420000,10,336000,3360000,4200000,840000
45757,East,Abuja,Corporate,Online,Desktop PC D21,Electronics,Peter,300000,2,240000,480000,600000,120000
45695,East,Lagos,Corporate,Online,Refrigerator R55,Home Appliances,Musa,220000,3,176000,528000,660000,132000
45691,East,Kano,Corporate,Store,Office Chair Pro,Furniture,David,85000,6,68000,408000,510000,102000
45712,North,Abuja,Corporate,Online,Sofa Classic,Furniture,Grace,320000,10,256000,2560000,3200000,640000
45660,East,Port Harcourt,Corporate,Online,Desktop PC D21,Electronics,David,300000,2,240000,480000,600000,120000
45735,South,Port Harcourt,Corporate,Store,Blender B10,Home Appliances,Grace,30000,6,24000,144000,180000,36000
45702,South,Port Harcourt,Corporate,Store,Microwave M20,Home Appliances,Musa,60000,2,48000,96000,120000,24000
45660,North,Kano,Retail,Online,Refrigerator R55,Home Appliances,Chidinma,220000,5,176000,880000,1100000,220000
45693,West,Abuja,Retail,Store,Air Conditioner X2,Home Appliances,Grace,180000,6,144000,864000,1080000,216000
45762,North,Port Harcourt,Retail,Online,Smartphone Z10,Electronics,Peter,250000,4,200000,800000,1000000,200000
45725,North,Kano,Corporate,Online,Office Chair Pro,Furniture,David,85000,10,68000,680000,850000,170000
45734,West,Lagos,Retail,Online,Desktop PC D21,Electronics,David,300000,6,240000,1440000,1800000,360000
45672,North,Lagos,Corporate,Store,Refrigerator R55,Home Appliances,Chidinma,220000,3,176000,528000,660000,132000
45663,North,Kano,Retail,Store,Blender B10,Home Appliances,Grace,30000,8,24000,192000,240000,48000
45727,North,Port Harcourt,Corporate,Online,Office Chair Pro,Furniture,Chidinma,85000,2,68000,136000,170000,34000
45689,South,Abuja,Retail,Store,Printer P50,Electronics,Peter,150000,3,120000,360000,450000,90000
